level,code,description,parent_code
3,F500-F599,Remarkable persons,F200-F699
3,F500-F599,Remarkable persons,F200-F699
3,F600-F699,Persons with extraordinary powers,F200-F699
3,F600-F699,Persons with extraordinary powers.,F200-F699
3,F700-F899,Extraordinary places and things.,F700-F899
3,F80-F109,The lower world,F0-F199
3,F80-F109,THE LOWER WORLD,F0-F199
3,F900-F1099,Extraordinary occurrences,F900-F1099
3,G10-G399,KINDS OF OGRES,G10-G399
3,G10-G49,Regular cannibalism,G10-G399
3,G10-G49,REGULAR CANNIBALISM,G10-G399
3,G10-G99,Cannibals and cannibalism,G10-G399
3,G10-G99,Cannibals and cannibalism,G10-G399
3,G100-G199,Giant ogres,G10-G399
3,G100-G199,Giant ogres,G10-G399
3,G200-G299,Witches,G10-G399
3,G200-G299,Witches,G10-G399
3,G300-G399,Other ogres,G10-G399
3,G300-G399,Other ogres,G10-G399
3,G400-G499,Falling into ogre's power.,G400-G499
3,G50-G79,Occasional cannibalism,G10-G399
3,G50-G79,OCCASIONAL CANNIBALISM,G10-G399
3,G500-G599,Ogre defeated,G500-G599
3,G600-G699,Other ogre motifs,G600-G699
3,H0-H199,Identity tests: Recognition,H0-H199
3,H1000-H1199,Nature of tasks,H900-H1199
3,H1000-H1199,Nature of tasks,H900-H1199
3,H1010-H1049,Impossible or absurd tasks,H900-H1199
3,H1010-H1049,IMPOSSIBLE OR ABSURD TASKS,H900-H1199
3,H1050-H1089,Paradoxical tasks,H900-H1199
3,H1050-H1089,PARADOXICAL TASKS,H900-H1199
3,H1200-H1249,Attendant circumstances of quests,H1200-H1399
3,H1200-H1249,ATTENDANT CIRCUMSTANCES OF QUESTS,H1200-H1399
3,H1200-H1399,TESTS OF PROWESS: QUESTS,H1200-H1399
3,H1250-H1299,Quests to the other world,H1200-H1399
3,H1250-H1299,QUESTS TO THE OTHER WORLD,H1200-H1399
3,H1250-H1399,Nature of quests,H1200-H1399
3,H1250-H1399,Nature of quests,H1200-H1399
3,H1400-H1449,Tests of fear,H1400-H1599
3,H1400-H1449,TESTS OF FEAR,H1400-H1599
3,H1400-H1599,Other Tests,H1400-H1599
3,H1450-H1499,Tests of vigilance,H1400-H1599
3,H1450-H1499,TESTS OF VIGILANCE,H1400-H1599
3,H1500-H1549,Tests of endurance and power of survival,H1400-H1599
3,H1500-H1549,TESTS OF ENDURANCE AND POWER OF SURVIVAL,H1400-H1599
3,H1550-H1569,Tests of character,H1400-H1599
3,H1550-H1569,TESTS OF CHARACTER,H1400-H1599
3,H1570-H1599,Miscellaneous tests,H1400-H1599
3,H1570-H1599,MISCELLANEOUS TESTS,H1400-H1599
3,H200-H299,Tests of truth,H200-H299
3,H210-H239,Tests of guilt or innocence,H200-H299
3,H210-H239,TESTS OF GUILT OR INNOCENCE,H200-H299
3,H300-H499,Marriage tests,H300-H499
3,H310-H359,Suitor tests,H300-H499
3,H310-H359,SUITOR TESTS,H300-H499
3,H360-H388,BRIDE TESTS,H300-H499
3,H360-H399,Bride tests,H300-H499
3,H400-H459,Chastity tests,H300-H499
3,H400-H459,CHASTITY TESTS,H300-H499
3,H500-H899,Tests of cleverness,H500-H899
3,H530-H899,Riddles,H500-H899
3,H530-H899,RIDDLES,H500-H899
3,H80-H149,Identification by tokens,H0-H199
3,H80-H149,IDENTIFICATION BY TOKENS,H0-H199
3,H900-H1199,TESTS OF PROWESS: TASKS,H900-H1199
3,H900-H949,Assignment of tasks,H900-H1199
3,H900-H949,ASSIGNMENT OF TASKS,H900-H1199
3,H900-H999,Assignment and performance of tasks,H900-H1199
3,H900-H999,Assignment and performance of tasks.,H900-H1199
3,H950-H999,Performance of tasks,H900-H1199
3,H950-H999,Performance of tasks,H900-H1199
3,J0-J199,Acquisition and possession of wisdom (knowledge).,J0-J199
3,J1000-J1099,Other aspects of wisdom,J200-J1099
3,J1000-J1099,Other aspects of wisdom.,J200-J1099
3,J1100-J1249,Clever persons and acts,J1100-J1699
3,J1100-J1249,Clever persons and acts.,J1100-J1699
3,J1100-J1699,CLEVERNESS,J1100-J1699
3,J1130-J1199,Cleverness in the law court,J1100-J1699
3,J1130-J1199,CLEVERNESS IN THE LAW COURT,J1100-J1699
3,J1210-J1229,Clever man puts another out of countenance,J1100-J1699
3,J1210-J1229,CLEVER MAN PUTS ANOTHER OUT OF COUNTENANCE,J1100-J1699
3,J1230-J1249,Clever dividing,J1100-J1699
3,J1250-J1499,Clever verbal retorts (repartee),J1100-J1699
3,J1250-J1499,Clever verbal retorts (repartee).,J1100-J1699
3,J1500-J1649,Clever practical retorts,J1100-J1699
3,J1500-J1649,Clever practical retorts,J1100-J1699
3,J1650-J1699,Miscellaneous clever acts,J1100-J1699
3,J1650-J1699,Miscellaneous clever acts,J1100-J1699
3,J1700-J1729,Fools,J1700-J2749
3,J1700-J1729,Fools (general),J1700-J2749
3,J1710-J1729,Association with fools,J1700-J2749
3,J1730-J1749,Absurd ignorance,J1700-J2749
3,J1730-J1749,Absurd ignorance,J1700-J2749
3,J1750-J1809,One thing mistaken for another,J1700-J2749
3,J1750-J1809,ONE THING MISTAKEN FOR ANOTHER,J1700-J2749
3,J1750-J1849,Absurd misunderstandings,J1700-J2749
3,J1750-J1849,Absurd misunderstandings,J1700-J2749
3,J1850-J1899,Animals or objects treated as if human,J1700-J2749
3,J1850-J1899,ANIMALS OR OBJECTS TREATED AS IF HUMAN,J1700-J2749
3,J1850-J1999,Absurd disregard of facts,J1700-J2749
3,J1850-J1999,Absurd disregard of facts.,J1700-J2749
3,J200-J1099,WISE AND UNWISE CONDUCT,J200-J1099
3,J200-J499,Choices,J200-J1099
3,J200-J499,Choices,J200-J1099
3,J2000-J2049,ABSURD ABSENT-MINDEDNESS,J1700-J2749
3,J2000-J2050,Absurd absent-mindedness,J1700-J2749
3,J2050-J2199,Absurd short-sightedness,J1700-J2749
3,J2050-J2199,ABSURD SHORT-SIGHTEDNESS,J1700-J2749
3,J2200-J2259,Absurd lack of logic,J1700-J2749
3,J2200-J2259,Absurd lack of logic.,J1700-J2749
3,J2260-J2299,Absurd scientific theories,J1700-J2749
3,J2260-J2299,Absurd scientific theories,J1700-J2749
3,J230-J299,Real and apparent values,J200-J1099
3,J230-J299,REAL AND APPARENT VALUES,J200-J1099
3,J2300-J2349,Gullible fools,J1700-J2749
3,J2300-J2349,Gullible fools,J1700-J2749
3,J2350-J2369,Talkative fools,J1700-J2749
3,J2350-J2369,Talkative fools,J1700-J2749
3,J2370-J2399,Inquisitive fools,J1700-J2749
3,J2370-J2399,Inquisitive fools,J1700-J2749
3,J2400-J2449,Foolish imitation,J1700-J2749
3,J2400-J2449,Foolish imitation,J1700-J2749
3,J2450-J2499,Literal fools,J1700-J2749
3,J2450-J2499,Literal fools,J1700-J2749
3,J2500-J2549,Foolish extremes,J1700-J2749
3,J2500-J2549,Foolish extreme,J1700-J2749
3,J2550-J2599,Thankful fools,J1700-J2749
3,J2550-J2599,Thankful fools,J1700-J2749
3,J2600-J2649,Cowardly fools,J1700-J2749
3,J2600-J2649,Cowardly fool,J1700-J2749
3,J2650-J2699,Bungling fools,J1700-J2749
3,J2650-J2699,Bungling fool,J1700-J2749
3,J2700-J2749,The easy problem made hard,J1700-J2749
3,J2700-J2749,The easy problem made hard.,J1700-J2749
3,J2750-J2799,Other aspects of wisdom or foolishness,J1700-J2799
3,J2750-J2799,Other aspects of wisdom or foolishness.,J1700-J2799
3,J300-J329,Present values chosen,J200-J1099
3,J300-J329,PRESENT VALUES CHOSEN,J200-J1099
3,J330-J369,GAINS AND LOSSES,J200-J1099
3,J330-J399,Gains and losses,J200-J1099
3,J400-J459,Choice of associates,J200-J1099
3,J400-J459,CHOICE OF ASSOCIATES,J200-J1099
3,J500-J599,Prudence and discretion,J200-J1099
3,J600-J799,Forethought,J200-J1099
3,J600-J799,Forethought,J200-J1099
3,J610-J679,Forethought in conflicts with others,J200-J1099
3,J610-J679,FORETHOUGHT IN CONFLICTS WITH OTHERS,J200-J1099
3,J700-J749,Forethought in provision for life,J200-J1099
3,J700-J749,FORETHOUGHT IN PROVISION FOR LIFE,J200-J1099
3,J750-J799,Forethought—miscellaneous,J200-J1099
3,J750-J799,FORETHOUGHT—MISCELLANEOUS,J200-J1099
3,J800-J849,Adaptability,J200-J1099
3,J800-J849,Adaptability,J200-J1099
3,J850-J899,Consolation in misfortune,J200-J1099
3,J850-J899,CONSOLATION IN MISFORTUNE,J200-J1099
3,J900-J999,Humility,J200-J1099
3,J900-J999,Humility,J200-J1099
3,K0-K99,Contests won by deception.,K0-K99
3,K100-K299,Deceptive bargains,K100-K299
3,K1000-K1199,Deception into self-injury,K1000-K1199
3,K110-K149,Sale of worthless articles,K100-K299
3,K110-K149,SALE OF WORTHLESS ARTICLES,K100-K299
3,K1200-K1299,Deception into humiliating position.,K1200-K1299
3,K1300-K1399,Seduction or deceptive marriage.,K1300-K1399
3,K1400-K1499,Dupe's property destroyed,K1400-K1499
3,K1500-K1599,Deceptions connected with adultery.,K1500-K1599
3,K1600-K1699,Deceiver falls into own trap.,K1600-K1699
3,K1700-K1799,Deception through bluffing,K1700-K2099
3,K1700-K1799,Deception through bluffing,K1700-K2099
3,K1700-K2099,DECEPTION THROUGH SHAMS,K1700-K2099
3,K1800-K1899,Deception by disguise or illusion,K1700-K2099
3,K1800-K1899,Deception by disguise or illusion.,K1700-K2099
3,K1900-K1999,Impostures,K1700-K2099
3,K1900-K1999,Impostures,K1700-K2099
3,K200-K249,Deception in payment of debt,K100-K299
3,K200-K249,DECEPTION IN PAYMENT OF DEBT,K100-K299
3,K2000-K2099,Hypocrites,K1700-K2099
3,K2000-K2099,Hypocrites,K1700-K2099
3,K2100-K2199,False accusations,K2100-K2199
3,K2200-K2299,Villains and traitors,K2200-K2299
3,K2300-K2399,Other deceptions,K2300-K2399
3,K300-K499,Thefts and cheats,K300-K499
3,K310-K439,Thefts,K300-K499
3,K310-K439,THEFTS,K300-K499
3,K440-K499,Other cheats,K300-K499
3,K500-K699,Escape by deception,K500-K699
3,K700-K799,Capture by deception,K700-K799
3,K800-K999,Killing or maiming by deception.,K800-K999
3,L0-L99,Victorious youngest child,L0-L99
3,L100-L199,Unpromising hero (heroine),L100-L199
3,L200-L299,Modesty brings reward,L200-L299
3,L300-L399,Triumph of the weak.,L300-L399
3,L400-L499,Pride brought low,L400-L499
3,M0-M99,Judgments and decrees,M0-M99
3,M100-M199,Vows and oaths,M100-M199
3,M200-M299,Bargains and promises,M200-M299
3,M300-M399,Prophecies,M300-M399
3,M400-M499,Curses,M400-M499
3,N0-N99,Wagers and gambling,N0-N99
3,N100-N169,Nature of luck and fate,N100-N299
3,N100-N169,NATURE OF LUCK AND FATE,N100-N299
3,N100-N299,The ways of luck and fate.,N100-N299
3,N300-N399,Unlucky accidents,N300-N399
3,N400-N699,LUCKY ACCIDENTS,N400-N699
3,N410-N439,Lucky business ventures,N400-N699
3,N410-N439,Lucky business ventures,N400-N699
3,N440-N499,Valuable secrets learned,N400-N699
3,N440-N499,Valuable secrets learned,N400-N699
3,N500-N599,Treasure trove,N400-N699
3,N500-N599,Treasure trove,N400-N699
3,N600-N699,Other lucky accidents,N400-N699
3,N600-N699,Other lucky accidents,N400-N699
3,N700-N799,Accidental encounters,N700-N799
3,N800-N899,Helpers,N800-N899
3,P0-P99,Royalty and nobility,P0-P99
3,P100-P199,Other social orders,P100-P199
3,P200-P299,The family,P200-P299
3,P300-P399,Other social relationships,P300-P399
3,P400-P499,Trades and professions,P400-P499
3,P500-P599,Government,P500-P599
3,P600-P699,Customs,P600-P699
3,P700-P799,Society—miscellaneous motifs,P700-P799
3,Q10-Q99,Deeds rewarded,Q10-Q99
3,Q100-Q199,Nature of rewards,Q100-Q199
3,Q200-Q399,Deeds punished,Q200-Q399
3,Q400-Q599,Kinds of punishment,Q400-Q599
3,R0-R99,Captivity,R0-R99
3,R100-R199,Rescues,R100-R199
3,R200-R299,Escapes and pursuits,R200-R299
3,R300-R399,Refuges and recapture,R300-R399
3,S0-S99,Cruel relatives,S0-S99
3,S100-S199,Revolting murders or mutilations.,S100-S199
3,S200-S299,Cruel sacrifices,S200-S299
3,S300-S399,Abandoned or murdered children.,S300-S399
3,S400-S499,Cruel persecutions,S400-S499
3,T0-T99,Love,T0-T99
3,T100-T199,Marriage,T100-T199
3,T200-T299,Married life,T200-T299
3,T300-T399,Chastity and celibacy,T300-T399
3,T400-T499,Illicit sexual relations,T400-T499
3,T500-T599,Conception and birth,T500-T599
3,T600-T699,Care of children,T600-T699
3,U0-U99,Life's inequalities,U0-U99
3,U100-U299,The nature of life—miscellaneous motifs.,U100-U299
3,V0-V99,Religious services,V0-V99
3,V100-V199,Religious edifices and objects.,V100-V199
3,V200-V299,Sacred persons,V200-V299
3,V300-V399,Religious beliefs,V300-V399
3,V400-V449,Religious virtues,V400-V449
3,V450-V499,Religious orders,V450-V499
3,V500-V599,Religious motifs—miscellaneous,V500-V599
3,W0-W99,Favorable traits of character.,W0-W99
3,W100-W199,Unfavorable traits of character.,W100-W199
3,W200-W299,Traits of character—miscellaneous,W200-W299
3,X0-X99,Humor of discomfiture,X0-X99
3,X100-X199,Humor of disability,X100-X199
3,X1020-X1079,Remarkable man's extraordinary possessions,X900-X1899
3,X1020-X1079,REMARKABLE MAN'S EXTRAORDINARY POSSESSIONS,X900-X1899
3,X1080-X1099,Lie: occupations of remarkable man,X900-X1899
3,X1100-X1199,Lie: great hunters and fishermen,X900-X1899
3,X1100-X1199,LIE: GREAT HUNTERS AND FISHERMEN,X900-X1899
3,X1200-X1399,Lies about animals,X900-X1899
3,X1200-X1399,LIES ABOUT ANIMALS,X900-X1899
3,X1400-X1499,"Lies about plants, fruits, vegetables and trees",X900-X1899
3,X1400-X1499,"LIES ABOUT PLANTS, FRUITS, VEGETABLES, AND TREES",X900-X1899
3,X1500-X1599,Lies about geography and topography,X900-X1899
3,X1500-X1599,LIES ABOUT GEOGRAPHY AND TOPOGRAPHY,X900-X1899
3,X1600-X1699,Lies about weather and climate,X900-X1899
3,X1600-X1699,LIES ABOUT WEATHER AND CLIMATE,X900-X1899
3,X1700-X1799,Lies: logical absurdities,X900-X1899
3,X1700-X1799,LIES: LOGICAL ABSURDITIES,X900-X1899
3,X1800-X1899,Miscellaneous lies and exaggerations,X900-X1899
3,X1800-X1899,MISCELLANEOUS LIES AND EXAGGERATIONS,X900-X1899
3,X200-X299,Humor dealing with tradesmen,X200-X599
3,X200-X299,Humor dealing with tradesmen,X200-X599
3,X200-X599,HUMOR OF SOCIAL CLASSES,X200-X599
3,X300-X499,Humor dealing with professions,X200-X599
3,X300-X499,Humor dealing with professions.,X200-X599
3,X500-X599,Humor concerning other social classes,X200-X599
3,X500-X599,Humor concerning other social classes.,X200-X599
3,X600-X699,Humor concerning races or nations.,X600-X699
3,X700-X799,Humor concerning sex,X700-X799
3,X800-X899,Humor based on drunkenness.,X800-X899
3,X900-X1899,HUMOR OF LIES AND EXAGGERATION1,X900-X1899
3,X910-X1099,Lie: the remarkable man,X900-X1899
3,X910-X1099,Lie: the remarkable man.,X900-X1899
3,X910-X959,"Lie: the remarkable man: his birth, growth, death, physical",X900-X1899
3,X910-X959,"LIE: THE REMARKABLE MAN — HIS BIRTH, GROWTH,",X900-X1899
3,X960-X1019,Lie: remarkable person's skills,X900-X1899
3,X960-X1019,LIE: REMARKABLE PERSON'S SKILLS,X900-X1899
3,Z0-Z99,Formulas,Z0-Z99
3,Z100-Z199,Symbolism,Z100-Z199
3,Z20-Z59,Cumulative tales,Z0-Z99
3,Z20-Z59,CUMULATIVE TALES,Z0-Z99
3,Z200-Z299,Heroes,Z200-Z299
3,Z300-Z399,Unique exceptions,Z300-Z399
